﻿Hồ chứa,LVS/Hồ/Ngày/Giờ,LVS/Hồ chứa/Ngày,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
An Khê,0,01/01/2021,Ba,428.74,43.56,--,7.9,--,4,4,0,1,1,0,Đúng
An Khê,1,01/01/2021,Ba,428.76,43.84,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,01/01/2021,Ba,428.78,41.76,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,01/01/2021,Ba,428.80,38.54,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,01/01/2021,Ba,428.82,36.47,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,01/01/2021,Ba,428.84,34.65,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,01/01/2021,Ba,428.86,34.27,--,8,--,8,8,0,1,1,0,Đúng
An Khê,7,01/01/2021,Ba,428.87,16.54,--,12.6,--,8,8,0,1,1,0,Đúng
An Khê,8,01/01/2021,Ba,428.85,34.78,--,72,--,8,30,22,1,1,0,Đúng
An Khê,9,01/01/2021,Ba,428.82,33.17,--,72,--,8,30,22,1,1,0,Đúng
An Khê,10,01/01/2021,Ba,428.82,30.35,--,30.4,--,8,30,22,1,1,0,Đúng
An Khê,11,01/01/2021,Ba,428.81,26.39,--,30,--,8,30,22,1,1,0,Đúng
An Khê,12,01/01/2021,Ba,428.80,21.37,--,30,--,8,30,22,1,1,0,Đúng
An Khê,13,01/01/2021,Ba,428.79,12.78,--,30,--,8,30,22,1,1,0,Đúng
An Khê,14,01/01/2021,Ba,428.79,8,--,8,--,8,8,0,1,1,0,Đúng
An Khê,15,01/01/2021,Ba,428.79,8,--,8,--,8,8,0,1,1,0,Đúng
An Khê,16,01/01/2021,Ba,428.78,5.89,--,14.5,--,8,8,0,1,1,0,Đúng
An Khê,17,01/01/2021,Ba,428.75,8.47,--,44.3,--,8,8,0,1,1,0,Đúng
An Khê,18,01/01/2021,Ba,428.70,5.44,--,48.5,--,8,8,0,1,1,0,Đúng
An Khê,19,01/01/2021,Ba,428.67,8.67,--,48.5,--,8,8,0,1,1,0,Đúng
An Khê,20,01/01/2021,Ba,428.65,6.58,--,30,--,4,4,0,1,1,0,Đúng
An Khê,21,01/01/2021,Ba,428.65,5.72,--,4,--,4,4,0,1,1,0,Đúng
An Khê,22,01/01/2021,Ba,428.65,4.23,--,4,--,4,4,0,1,1,0,Đúng
An Khê,23,01/01/2021,Ba,428.64,3.98,--,4,--,4,4,0,1,1,0,Đúng
An Khê,0,02/01/2021,Ba,428.64,4.05,--,4,--,4,4,0,1,1,0,Đúng
An Khê,1,02/01/2021,Ba,428.64,3.96,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,02/01/2021,Ba,428.63,4.02,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,02/01/2021,Ba,428.63,4.13,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,02/01/2021,Ba,428.63,4.05,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,02/01/2021,Ba,428.62,4,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,02/01/2021,Ba,428.62,4.08,--,8,--,8,8,0,1,1,0,Đúng
An Khê,7,02/01/2021,Ba,428.62,4.08,--,8,--,8,8,0,1,1,0,Đúng
An Khê,8,02/01/2021,Ba,428.62,4.23,--,8,--,8,8,0,1,1,0,Đúng
An Khê,9,02/01/2021,Ba,428.61,4.15,--,8,--,8,8,0,1,1,0,Đúng
An Khê,10,02/01/2021,Ba,428.61,4.17,--,8,--,8,8,0,1,1,0,Đúng
An Khê,11,02/01/2021,Ba,428.61,4.33,--,8,--,8,8,0,1,1,0,Đúng
An Khê,12,02/01/2021,Ba,428.60,4.09,--,8,--,8,8,0,1,1,0,Đúng
An Khê,13,02/01/2021,Ba,428.60,4.13,--,8,--,8,8,0,1,1,0,Đúng
An Khê,14,02/01/2021,Ba,428.60,4.27,--,8,--,8,8,0,1,1,0,Đúng
An Khê,15,02/01/2021,Ba,428.59,4.33,--,8,--,8,8,0,1,1,0,Đúng
An Khê,16,02/01/2021,Ba,428.59,7.67,--,13.7,--,8,8,0,1,1,0,Đúng
An Khê,17,02/01/2021,Ba,428.56,8.92,--,54.8,--,8,8,0,1,1,0,Đúng
An Khê,18,02/01/2021,Ba,428.52,12.56,--,56,--,8,8,0,1,1,0,Đúng
