﻿Hồ chứa,LVS/Hồ/Ngày/Giờ,LVS/Hồ chứa/Ngày,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
An Khê,0,02/10/2018,Ba,428.25,46,--,46,--,--,4,--,--,1,--,
An Khê,1,02/10/2018,Ba,428.25,46,--,46,--,--,4,--,--,1,--,
An Khê,2,02/10/2018,Ba,428.24,37.39,--,46,--,--,4,--,--,1,--,
An Khê,3,02/10/2018,Ba,428.24,46,--,46,--,--,4,--,--,1,--,
An Khê,4,02/10/2018,Ba,428.23,37.39,--,46,--,--,4,--,--,1,--,
An Khê,5,02/10/2018,Ba,428.23,46,--,46,--,--,4,--,--,1,--,
An Khê,6,02/10/2018,Ba,428.22,37.39,--,46,--,--,4,--,--,1,--,
An Khê,7,02/10/2018,Ba,428.22,46,--,46,--,--,4,--,--,1,--,
An Khê,8,02/10/2018,Ba,428.22,48.69,--,48.7,--,--,4,--,--,1,--,
An Khê,9,02/10/2018,Ba,428.21,40.39,--,49,--,--,4,--,--,1,--,
An Khê,10,02/10/2018,Ba,428.21,49,--,49,--,--,4,--,--,1,--,
An Khê,11,02/10/2018,Ba,428.21,49,--,49,--,--,4,--,--,1,--,
An Khê,12,02/10/2018,Ba,428.20,40.39,--,49,--,--,4,--,--,1,--,
An Khê,13,02/10/2018,Ba,428.20,49,--,49,--,--,4,--,--,1,--,
An Khê,14,02/10/2018,Ba,428.20,49,--,49,--,--,4,--,--,1,--,
An Khê,15,02/10/2018,Ba,428.19,40.39,--,49,--,--,4,--,--,1,--,
An Khê,16,02/10/2018,Ba,428.19,49,--,49,--,--,4,--,--,1,--,
An Khê,17,02/10/2018,Ba,428.18,40.39,--,49,--,--,4,--,--,1,--,
An Khê,18,02/10/2018,Ba,428.17,40.39,--,49,--,--,4,--,--,1,--,
An Khê,19,02/10/2018,Ba,428.16,40.04,--,48.7,--,--,4,--,--,1,--,
An Khê,20,02/10/2018,Ba,428.15,38.89,--,47.5,--,--,4,--,--,1,--,
An Khê,21,02/10/2018,Ba,428.14,38.89,--,47.5,--,--,4,--,--,1,--,
An Khê,22,02/10/2018,Ba,428.13,37.49,--,46.1,--,--,4,--,--,1,--,
An Khê,23,02/10/2018,Ba,428.12,37.39,--,46,--,--,4,--,--,1,--,
An Khê,0,03/10/2018,Ba,428.11,36.47,--,45.1,--,--,4,--,--,1,--,
An Khê,1,03/10/2018,Ba,428.10,37.14,--,45.8,--,--,4,--,--,1,--,
An Khê,2,03/10/2018,Ba,428.09,35.89,--,44.5,--,--,4,--,--,1,--,
An Khê,3,03/10/2018,Ba,428.08,35.89,--,44.5,--,--,4,--,--,1,--,
