﻿Hồ chứa,LVS/Hồ/Ngày/Giờ,LVS/Hồ chứa/Ngày,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
An Khê,0,2/7/2021,Ba,427.68,1.76,--,4,--,4,4,0,1,1,0,Đúng
An Khê,1,2/7/2021,Ba,427.68,1.79,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,2/7/2021,Ba,427.68,1.87,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,2/7/2021,Ba,427.68,1.96,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,2/7/2021,Ba,427.68,2.03,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,2/7/2021,Ba,427.68,2.15,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,2/7/2021,Ba,427.67,1.74,--,4,--,4,4,0,1,1,0,Đúng
An Khê,7,2/7/2021,Ba,427.67,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,8,2/7/2021,Ba,427.67,1.79,--,4,--,4,4,0,1,1,0,Đúng
An Khê,9,2/7/2021,Ba,427.66,1.57,--,4,--,4,4,0,1,1,0,Đúng
An Khê,10,2/7/2021,Ba,427.66,1.55,--,4,--,4,4,0,1,1,0,Đúng
An Khê,11,2/7/2021,Ba,427.66,1.62,--,4,--,4,4,0,1,1,0,Đúng
An Khê,12,2/7/2021,Ba,427.66,1.82,--,4,--,4,4,0,1,1,0,Đúng
An Khê,13,2/7/2021,Ba,427.65,1.96,--,4,--,4,4,0,1,1,0,Đúng
An Khê,14,2/7/2021,Ba,427.65,1.65,--,4,--,4,4,0,1,1,0,Đúng
An Khê,15,2/7/2021,Ba,427.65,1.88,--,8.1,--,4,4,0,1,1,0,Đúng
An Khê,16,2/7/2021,Ba,427.62,2.05,--,26.5,--,4,4,0,1,1,0,Đúng
An Khê,17,2/7/2021,Ba,427.59,1.84,--,26.5,--,4,4,0,1,1,0,Đúng
