﻿Hồ chứa,LVS/Hồ/Ngày/Giờ,LVS/Hồ chứa/Ngày,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
An Khê,0,02/10/2021,Ba,428.94,52.15,--,52,--,--,4,--,--,1,--,
An Khê,1,02/10/2021,Ba,428.94,52,--,52,--,--,4,--,--,1,--,
An Khê,2,02/10/2021,Ba,428.95,54.36,--,52,--,--,4,--,--,1,--,
An Khê,3,02/10/2021,Ba,428.95,58.44,--,52,--,--,4,--,--,1,--,
An Khê,4,02/10/2021,Ba,428.95,52.65,--,52,--,--,4,--,--,1,--,
An Khê,5,02/10/2021,Ba,428.95,51.52,--,52,--,--,4,--,--,1,--,
An Khê,6,02/10/2021,Ba,428.95,52.86,--,52,--,--,4,--,--,1,--,
An Khê,7,02/10/2021,Ba,428.95,50.22,--,52,--,--,4,--,--,1,--,
An Khê,8,02/10/2021,Ba,428.95,31.82,--,26.8,--,--,4,--,--,1,--,
An Khê,9,02/10/2021,Ba,428.96,25.61,--,4,--,--,4,--,--,1,--,
An Khê,10,02/10/2021,Ba,428.96,21.75,--,4,--,--,4,--,--,1,--,
An Khê,11,02/10/2021,Ba,428.97,22.68,--,4,--,--,4,--,--,1,--,
An Khê,12,02/10/2021,Ba,428.97,20.94,--,4,--,--,4,--,--,1,--,
An Khê,13,02/10/2021,Ba,428.98,23.85,--,4,--,--,4,--,--,1,--,
An Khê,14,02/10/2021,Ba,428.98,21.92,--,8,--,--,4,--,--,1,--,
An Khê,15,02/10/2021,Ba,428.98,20.87,--,10.4,--,--,4,--,--,1,--,
An Khê,16,02/10/2021,Ba,428.97,25.39,--,38,--,--,4,--,--,1,--,
An Khê,17,02/10/2021,Ba,428.97,42.41,--,52,--,--,4,--,--,1,--,
An Khê,18,02/10/2021,Ba,428.96,28.17,--,52,--,--,4,--,--,1,--,
An Khê,19,02/10/2021,Ba,428.95,26.39,--,52,--,--,4,--,--,1,--,
An Khê,20,02/10/2021,Ba,428.94,31.25,--,52,--,--,4,--,--,1,--,
An Khê,21,02/10/2021,Ba,428.93,32.41,--,52,--,--,4,--,--,1,--,
An Khê,22,02/10/2021,Ba,428.93,45.78,--,52,--,--,4,--,--,1,--,
