﻿Hồ chứa,LVS/Hồ/Ngày/Giờ,LVS/Hồ chứa/Ngày,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
An Khê,0,02/07/2017,Ba,428.72,19.01,--,10.4,--,4,4,0,1,1,0,Đúng
An Khê,1,02/07/2017,Ba,428.74,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,02/07/2017,Ba,428.76,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,02/07/2017,Ba,428.78,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,02/07/2017,Ba,428.80,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,02/07/2017,Ba,428.82,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,02/07/2017,Ba,428.83,12.61,--,4,--,4,4,0,1,1,0,Đúng
An Khê,7,02/07/2017,Ba,428.84,12.61,--,4,--,4,4,0,1,1,0,Đúng
An Khê,8,02/07/2017,Ba,428.85,12.61,--,4,--,4,4,0,1,1,0,Đúng
An Khê,9,02/07/2017,Ba,428.86,12.61,--,4,--,4,4,0,1,1,0,Đúng
An Khê,10,02/07/2017,Ba,428.88,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,11,02/07/2017,Ba,428.87,39.39,--,48,--,4,4,0,1,1,0,Đúng
An Khê,12,02/07/2017,Ba,428.86,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,13,02/07/2017,Ba,428.83,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,14,02/07/2017,Ba,428.80,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,15,02/07/2017,Ba,428.78,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,16,02/07/2017,Ba,428.76,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,17,02/07/2017,Ba,428.74,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,18,02/07/2017,Ba,428.72,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,19,02/07/2017,Ba,428.70,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,20,02/07/2017,Ba,428.68,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,21,02/07/2017,Ba,428.65,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,22,02/07/2017,Ba,428.62,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,23,02/07/2017,Ba,428.63,19.81,--,11.2,--,4,4,0,1,1,0,Đúng
An Khê,0,03/07/2017,Ba,428.65,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,1,03/07/2017,Ba,428.67,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,03/07/2017,Ba,428.69,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,03/07/2017,Ba,428.71,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,03/07/2017,Ba,428.73,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,03/07/2017,Ba,428.75,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,03/07/2017,Ba,428.77,21.22,--,4,--,4,4,0,1,1,0,Đúng
An Khê,7,03/07/2017,Ba,428.77,24,--,24,--,4,4,0,1,1,0,Đúng
An Khê,8,03/07/2017,Ba,428.74,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,9,03/07/2017,Ba,428.71,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,10,03/07/2017,Ba,428.69,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,11,03/07/2017,Ba,428.67,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,12,03/07/2017,Ba,428.65,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,13,03/07/2017,Ba,428.63,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,14,03/07/2017,Ba,428.61,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,15,03/07/2017,Ba,428.59,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,16,03/07/2017,Ba,428.56,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,17,03/07/2017,Ba,428.53,26.17,--,52,--,4,4,0,1,1,0,Đúng
An Khê,18,03/07/2017,Ba,428.51,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,19,03/07/2017,Ba,428.51,52,--,52,--,4,4,0,1,1,0,Đúng
An Khê,20,03/07/2017,Ba,428.51,52,--,52,--,4,4,0,1,1,0,Đúng
An Khê,21,03/07/2017,Ba,428.50,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,22,03/07/2017,Ba,428.48,34.78,--,52,--,4,4,0,1,1,0,Đúng
An Khê,23,03/07/2017,Ba,428.47,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,0,04/07/2017,Ba,428.46,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,1,04/07/2017,Ba,428.45,32.99,--,41.6,--,4,4,0,1,1,0,Đúng
An Khê,2,04/07/2017,Ba,428.48,33.83,--,8,--,4,4,0,1,1,0,Đúng
An Khê,3,04/07/2017,Ba,428.51,29.83,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,04/07/2017,Ba,428.54,29.83,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,04/07/2017,Ba,428.57,29.83,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,04/07/2017,Ba,428.60,29.83,--,4,--,4,4,0,1,1,0,Đúng
An Khê,7,04/07/2017,Ba,428.63,29.83,--,4,--,4,4,0,1,1,0,Đúng
An Khê,8,04/07/2017,Ba,428.66,69.83,--,44,--,4,4,0,1,1,0,Đúng
An Khê,9,04/07/2017,Ba,428.68,69.22,--,52,--,4,4,0,1,1,0,Đúng
An Khê,10,04/07/2017,Ba,428.67,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,11,04/07/2017,Ba,428.66,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,12,04/07/2017,Ba,428.65,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,13,04/07/2017,Ba,428.64,43.39,--,52,--,4,4,0,1,1,0,Đúng
An Khê,14,04/07/2017,Ba,428.63,43.39,--,52,--,4,4,0,1,1,0,Đúng
