﻿Hồ chứa,LVS/Hồ/Ngày/Giờ,LVS/Hồ chứa/Ngày,Lưu vực sông,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Yêu cầu],Tổng lưu lượng xả (m³/s)[Thực tế],Tổng lưu lượng xả (m³/s)[+/-],Dòng chảy tối thiểu (m³/s)[Yêu cầu],Dòng chảy tối thiểu (m³/s)[Thực tế],Dòng chảy tối thiểu (m³/s)[+/-],Thời gian xả (Giờ)[Yêu cầu],Thời gian xả (Giờ)[Thực tế],Thời gian xả (Giờ)[+/-],Thực Hiện
An Khê,0,02/04/2016,Ba,428.57,10.46,--,4,--,4,4,0,1,1,0,Đúng
An Khê,1,02/04/2016,Ba,428.57,8.31,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,02/04/2016,Ba,428.57,6.15,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,02/04/2016,Ba,428.56,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,02/04/2016,Ba,428.56,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,02/04/2016,Ba,428.56,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,02/04/2016,Ba,428.56,2.35,--,6,--,6,6,0,1,1,0,Đúng
An Khê,7,02/04/2016,Ba,428.55,2.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,8,02/04/2016,Ba,428.55,3.35,--,6,--,6,6,0,1,1,0,Đúng
An Khê,9,02/04/2016,Ba,428.54,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,10,02/04/2016,Ba,428.54,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,11,02/04/2016,Ba,428.53,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,12,02/04/2016,Ba,428.53,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,13,02/04/2016,Ba,428.52,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,14,02/04/2016,Ba,428.52,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,15,02/04/2016,Ba,428.51,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,16,02/04/2016,Ba,428.51,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,17,02/04/2016,Ba,428.50,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,18,02/04/2016,Ba,428.50,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,19,02/04/2016,Ba,428.50,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,20,02/04/2016,Ba,428.51,5.50,--,4,--,4,4,0,1,1,0,Đúng
An Khê,21,02/04/2016,Ba,428.52,9.31,--,4,--,4,4,0,1,1,0,Đúng
An Khê,22,02/04/2016,Ba,428.53,10.96,--,4,--,4,4,0,1,1,0,Đúng
An Khê,23,02/04/2016,Ba,428.54,12.61,--,4,--,4,4,0,1,1,0,Đúng
An Khê,0,03/04/2016,Ba,428.54,10.46,--,4,--,4,4,0,1,1,0,Đúng
An Khê,1,03/04/2016,Ba,428.54,8.31,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,03/04/2016,Ba,428.54,6.15,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,03/04/2016,Ba,428.53,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,03/04/2016,Ba,428.53,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,03/04/2016,Ba,428.53,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,03/04/2016,Ba,428.52,0.19,--,6,--,6,6,0,1,1,0,Đúng
An Khê,7,03/04/2016,Ba,428.52,2.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,8,03/04/2016,Ba,428.52,3.35,--,6,--,6,6,0,1,1,0,Đúng
An Khê,9,03/04/2016,Ba,428.51,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,10,03/04/2016,Ba,428.51,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,11,03/04/2016,Ba,428.51,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,12,03/04/2016,Ba,428.50,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,13,03/04/2016,Ba,428.50,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,14,03/04/2016,Ba,428.50,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,15,03/04/2016,Ba,428.49,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,16,03/04/2016,Ba,428.49,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,17,03/04/2016,Ba,428.49,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,18,03/04/2016,Ba,428.48,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,19,03/04/2016,Ba,428.48,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,20,03/04/2016,Ba,428.48,3.35,--,4,--,4,4,0,1,1,0,Đúng
An Khê,21,03/04/2016,Ba,428.48,2.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,22,03/04/2016,Ba,428.47,2.35,--,4,--,4,4,0,1,1,0,Đúng
An Khê,23,03/04/2016,Ba,428.47,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,0,04/04/2016,Ba,428.47,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,1,04/04/2016,Ba,428.47,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,2,04/04/2016,Ba,428.46,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,3,04/04/2016,Ba,428.46,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,4,04/04/2016,Ba,428.46,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,5,04/04/2016,Ba,428.46,1.85,--,4,--,4,4,0,1,1,0,Đúng
An Khê,6,04/04/2016,Ba,428.45,2.35,--,6,--,6,6,0,1,1,0,Đúng
An Khê,7,04/04/2016,Ba,428.45,2.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,8,04/04/2016,Ba,428.44,1.19,--,6,--,6,6,0,1,1,0,Đúng
An Khê,9,04/04/2016,Ba,428.44,1.69,--,6,--,6,6,0,1,1,0,Đúng
An Khê,10,04/04/2016,Ba,428.44,3.85,--,6,--,6,6,0,1,1,0,Đúng
An Khê,11,04/04/2016,Ba,428.43,1.69,--,6,--,6,6,0,1,1,0,Đúng
