Thời gian,Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế],Tổng (m)
2019-10-02 00:00:00,427.18,2.65,4.0,0.0
2019-10-02 01:00:00,427.19,10.67,4.0,0.0
2019-10-02 02:00:00,427.2,10.67,4.0,0.0
2019-10-02 03:00:00,427.2,4.0,4.0,0.0
2019-10-02 04:00:00,427.19,2.5,4.0,0.0
2019-10-02 05:00:00,427.19,2.27,4.0,0.0
2019-10-02 06:00:00,427.18,2.15,4.0,0.0
2019-10-02 07:00:00,427.18,2.06,4.0,0.0
2019-10-02 08:00:00,427.17,2.0,4.0,0.0
2019-10-02 09:00:00,427.17,2.0,4.0,0.0
2019-10-02 10:00:00,427.16,2.0,4.0,0.0
2019-10-02 11:00:00,427.16,2.0,4.0,0.0
2019-10-02 12:00:00,427.15,2.0,4.0,0.0
2019-10-02 13:00:00,427.15,2.1,4.0,0.0
2019-10-02 14:00:00,427.13,2.4,13.1,0.0
2019-10-02 15:00:00,427.11,11.67,25.0,27.88
2019-10-02 16:00:00,427.12,31.67,25.0,0.0
2019-10-02 17:00:00,427.15,45.0,25.0,0.0
2019-10-02 18:00:00,427.18,45.0,25.0,0.0
2019-10-02 19:00:00,427.22,34.87,8.2,0.0
2019-10-02 20:00:00,427.26,30.67,4.0,0.0
2019-10-02 21:00:00,427.3,30.67,4.0,0.0
2019-10-02 22:00:00,427.34,30.67,4.0,0.0
2019-10-02 23:00:00,427.38,30.67,4.0,0.0
2019-10-03 00:00:00,427.42,30.67,4.0,0.0
2019-10-03 01:00:00,427.45,24.0,4.0,0.0
2019-10-03 02:00:00,427.48,24.0,4.0,0.0
2019-10-03 03:00:00,427.49,10.67,4.0,0.0
2019-10-03 04:00:00,427.49,4.0,4.0,0.0
2019-10-03 05:00:00,427.48,3.2,4.0,0.0
2019-10-03 06:00:00,427.48,4.0,4.0,0.0
2019-10-03 07:00:00,427.47,3.2,4.0,0.0
2019-10-03 08:00:00,427.47,3.2,4.0,0.0
2019-10-03 09:00:00,427.46,3.2,4.0,0.0
2019-10-03 10:00:00,427.46,3.2,4.0,0.0
2019-10-03 11:00:00,427.45,3.2,4.0,0.0
2019-10-03 12:00:00,427.45,3.2,4.0,0.0
2019-10-03 13:00:00,427.44,3.3,4.0,0.0
2019-10-03 14:00:00,427.44,3.3,4.0,0.0
2019-10-03 15:00:00,427.43,3.3,4.0,0.0
2019-10-03 16:00:00,427.42,3.98,10.7,17.53
2019-10-03 17:00:00,427.39,5.0,25.0,8.11
2019-10-03 18:00:00,427.37,11.67,25.0,0.0
2019-10-03 19:00:00,427.36,11.68,18.4,0.0
2019-10-03 20:00:00,427.37,10.67,4.0,0.0
2019-10-03 21:00:00,427.36,11.38,19.1,0.0
2019-10-03 22:00:00,427.36,25.0,25.0,0.0
2019-10-03 23:00:00,427.4,33.47,6.8,0.0
2019-10-04 00:00:00,427.44,30.67,4.0,0.0
2019-10-04 01:00:00,427.48,30.67,4.0,0.0
2019-10-04 02:00:00,427.52,31.78,4.0,0.0
2019-10-04 03:00:00,427.56,32.89,4.0,0.0
2019-10-04 04:00:00,427.59,25.67,4.0,0.0
2019-10-04 05:00:00,427.62,25.67,4.0,0.0
2019-10-04 06:00:00,427.63,11.22,4.0,0.0
2019-10-04 07:00:00,427.63,4.0,4.0,0.0
2019-10-04 08:00:00,427.62,5.18,12.4,0.0
2019-10-04 09:00:00,427.59,5.09,26.8,0.0
2019-10-04 10:00:00,427.56,4.29,26.0,0.0
2019-10-04 11:00:00,427.56,5.12,7.5,0.0
2019-10-04 12:00:00,427.56,3.8,4.0,0.0
2019-10-04 13:00:00,427.55,3.8,4.0,0.0
2019-10-04 14:00:00,427.54,4.82,17.3,0.0
2019-10-04 15:00:00,427.53,14.2,25.0,0.0
2019-10-04 16:00:00,427.53,25.0,25.0,0.0
2019-10-04 17:00:00,427.53,25.0,25.0,0.0
2019-10-04 18:00:00,427.51,10.56,25.0,0.0
2019-10-04 19:00:00,427.49,5.16,19.1,0.0
2019-10-04 20:00:00,427.49,4.0,4.0,0.0
2019-10-04 21:00:00,427.5,26.42,19.8,0.0
2019-10-04 22:00:00,427.53,30.92,9.3,0.0
2019-10-04 23:00:00,427.57,32.89,4.0,0.0
2019-10-05 00:00:00,427.61,32.89,4.0,0.0
2019-10-05 01:00:00,427.65,32.89,4.0,0.0
2019-10-05 02:00:00,427.68,25.67,4.0,0.0
2019-10-05 03:00:00,427.69,11.22,4.0,0.0
2019-10-05 04:00:00,427.72,25.67,4.0,0.0
2019-10-05 05:00:00,427.75,25.67,4.0,0.0
2019-10-05 06:00:00,427.75,4.0,4.0,0.0
2019-10-05 07:00:00,427.74,3.2,4.0,0.0
2019-10-05 08:00:00,427.74,4.0,4.0,0.0
2019-10-05 09:00:00,427.74,4.0,4.0,0.0
2019-10-05 10:00:00,427.74,4.0,4.0,0.0
2019-10-05 11:00:00,427.74,4.0,4.0,0.0
2019-10-05 12:00:00,427.74,4.0,4.0,0.0
2019-10-05 13:00:00,427.73,3.15,4.0,0.0
2019-10-05 14:00:00,427.73,3.15,4.0,0.0
2019-10-05 15:00:00,427.73,3.15,4.0,0.0
2019-10-05 16:00:00,427.73,3.15,4.0,0.0
2019-10-05 17:00:00,427.73,3.15,4.0,0.0
2019-10-05 18:00:00,427.73,3.15,4.0,0.0
2019-10-05 19:00:00,427.72,2.86,15.9,0.0
2019-10-05 20:00:00,427.72,2.87,13.5,0.0
2019-10-05 21:00:00,427.72,2.83,4.0,0.0
2019-10-05 22:00:00,427.72,2.83,4.0,0.0
2019-10-05 23:00:00,427.71,2.0,4.0,0.0
2019-10-06 00:00:00,427.71,2.0,4.0,0.0
2019-10-06 01:00:00,427.7,2.0,4.0,0.0
2019-10-06 02:00:00,427.7,2.0,4.0,0.0
2019-10-06 03:00:00,427.69,2.0,4.0,0.0
2019-10-06 04:00:00,427.69,2.0,4.0,0.0
2019-10-06 05:00:00,427.68,2.0,4.0,0.0
2019-10-06 06:00:00,427.68,2.0,4.0,0.0
2019-10-06 07:00:00,427.68,2.3,4.0,0.0
2019-10-06 08:00:00,427.68,2.3,4.0,0.0
2019-10-06 09:00:00,427.67,2.3,4.0,0.0
2019-10-06 10:00:00,427.67,2.3,4.0,0.0
2019-10-06 11:00:00,427.67,2.3,4.0,0.0
2019-10-06 12:00:00,427.67,2.3,4.0,0.0
2019-10-06 13:00:00,427.66,1.97,4.0,0.0
2019-10-06 14:00:00,427.66,1.97,4.0,0.0
2019-10-06 15:00:00,427.66,1.97,4.0,0.0
2019-10-06 16:00:00,427.66,1.97,4.0,0.0
2019-10-06 17:00:00,427.65,1.85,4.0,0.0
2019-10-06 18:00:00,427.64,1.8,12.3,0.0
2019-10-06 19:00:00,427.63,1.76,10.6,0.0
2019-10-06 20:00:00,427.63,1.76,4.0,0.0
2019-10-06 21:00:00,427.62,1.76,4.0,0.0
